<<<<<<< HEAD
"12.34+5.67j",		"123.45+67.89i",				"#NUM!"
"123.45+67.89j",	"12.34+5.67j",					"111.11+62.22j"
"12.34+5.67j",		"123.45+67.89j",				"-111.11-62.22j"
"12.34+5.67i",		"123.45+67.89i",	"123.45+67.89i",	"-111.11-62.22i"
"-12.34-5.67i",		"123.45-67.89i",				"-135.79+62.22i"
"12.34-5.67i",		"-123.45-67.89i",				"135.79+62.22i"
"-12.34-5.67i",		"-123.45-67.89i",				"111.11+62.22i"
"-12.34-5.67i",		"-123.45-67.89",				"#NUM!"
"-12.34-5.67j",		"-123.45-67.89",				"#NUM!"
"-12.34-5.67",		"-123.45-67.89j",				"#NUM!"
=======
"12.34+5.67j",		"123.45+67.89i",				"#NUM!"
"123.45+67.89j",	"12.34+5.67j",					"111.11+62.22j"
"12.34+5.67j",		"123.45+67.89j",				"-111.11-62.22j"
"12.34+5.67i",		"123.45+67.89i",	"123.45+67.89i",	"-111.11-62.22i"
"-12.34-5.67i",		"123.45-67.89i",				"-135.79+62.22i"
"12.34-5.67i",		"-123.45-67.89i",				"135.79+62.22i"
"-12.34-5.67i",		"-123.45-67.89i",				"111.11+62.22i"
"-12.34-5.67i",		"-123.45-67.89",				"#NUM!"
"-12.34-5.67j",		"-123.45-67.89",				"#NUM!"
"-12.34-5.67",		"-123.45-67.89j",				"#NUM!"
>>>>>>> 705d3246d2b96a483f40bf87e0cc15b93106fad1
